symbol,interval,fast_ma,slow_ma,lookback,quantity,fee_rate,initial_capital,trade_index,side,entry_time,entry_price,exit_time,exit_price,gross_pnl,net_pnl,fee,bars_held
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,104,SHORT,1787384580000,77414.10000000,1787386380000,77390.70000000,0.23400000,-0.38521920,0.61921920,30
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,105,LONG,1787386380000,77390.70000000,1787386980000,77293.00000000,-0.97700000,-1.59573480,0.61873480,10
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,106,SHORT,1787386980000,77293.00000000,1787388420000,77151.70000000,1.41300000,0.79522120,0.61777880,24
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,107,LONG,1787388420000,77151.70000000,1787389320000,77133.80000000,-0.17900000,-0.79614200,0.61714200,15
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,108,SHORT,1787389320000,77133.80000000,1787389920000,77287.80000000,-1.54000000,-2.15768640,0.61768640,10
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,109,LONG,1787389920000,77287.80000000,1787390940000,77192.70000000,-0.95100000,-1.56892200,0.61792200,17
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,110,SHORT,1787390940000,77192.70000000,1787394660000,76909.40000000,2.83300000,2.21659160,0.61640840,62
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,111,LONG,1787394660000,76909.40000000,1787396100000,76992.00000000,0.82600000,0.21039440,0.61560560,24
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,112,SHORT,1787396100000,76992.00000000,1787398200000,76991.80000000,0.00200000,-0.61393520,0.61593520,35
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,113,LONG,1787398200000,76991.80000000,1787399640000,77111.50000000,1.19700000,0.58058680,0.61641320,24
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,114,SHORT,1787399640000,77111.50000000,1787400120000,77204.00000000,-0.92500000,-1.54226200,0.61726200,8
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,115,LONG,1787400120000,77204.00000000,1787402160000,77223.00000000,0.19000000,-0.42770800,0.61770800,34
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,116,SHORT,1787402160000,77223.00000000,1787402640000,77322.00000000,-0.99000000,-1.60818000,0.61818000,8
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,117,LONG,1787402640000,77322.00000000,1787403780000,77257.60000000,-0.64400000,-1.26231840,0.61831840,19
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,118,SHORT,1787403780000,77257.60000000,1787406420000,77196.50000000,0.61100000,-0.00681640,0.61781640,44
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,119,LONG,1787406420000,77196.50000000,1787407620000,77059.90000000,-1.36600000,-1.98302560,0.61702560,20
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,120,SHORT,1787407620000,77059.90000000,1787409000000,77107.80000000,-0.47900000,-1.09567080,0.61667080,23
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,121,LONG,1787409000000,77107.80000000,1787409720000,77025.30000000,-0.82500000,-1.44153240,0.61653240,12
BTCUSDT,1m,7,25,50,0.01000000,0.00040000,10000.00,122,SHORT,1787409720000,77025.30000000,1787410920000,77055.80000000,-0.30500000,-0.92132440,0.61632440,20
